shelf_id,shelf_name,row,col,product_name,brand,sku,category,facings,unit_price_usd,planogram_notes
SHELF-BEV-01,Beverages Soft Drinks,1,1,Coca-Cola Classic,Coca-Cola,CC-CLASSIC-330,Soda & Energy Drinks,3,1.49,Top shelf far left — flagship
SHELF-BEV-01,Beverages Soft Drinks,1,2,Coca-Cola Zero,Coca-Cola,CC-ZERO-330,Soda & Energy Drinks,3,1.49,Zero sugar variant beside classic
SHELF-BEV-01,Beverages Soft Drinks,1,3,Schweppes Tonic,Schweppes,SCH-BLUE-330,Mixers & Tonic,2,1.59,Blue cans center-left top
SHELF-BEV-01,Beverages Soft Drinks,1,4,Fanta Orange,Fanta,FANTA-ORG-330,Soda & Energy Drinks,2,1.29,Yellow-orange cans top center
SHELF-BEV-01,Beverages Soft Drinks,1,5,Fanta Lemon,Fanta,FANTA-LEM-330,Soda & Energy Drinks,2,1.29,Lemon Fanta top shelf
SHELF-BEV-01,Beverages Soft Drinks,1,6,Dr Pepper,Dr Pepper,DP-ORIG-330,Soda & Energy Drinks,2,1.49,Dr Pepper top right
SHELF-BEV-01,Beverages Soft Drinks,1,7,Dr Pepper Cherry,Dr Pepper,DP-CHERRY-330,Soda & Energy Drinks,2,1.49,Cherry variant beside original
SHELF-BEV-01,Beverages Soft Drinks,1,8,Lucozade Energy,Lucozade,LUC-ORIG-380,Soda & Energy Drinks,2,1.89,Orange energy drink far right top
SHELF-BEV-01,Beverages Soft Drinks,2,1,Fanta Strawberry,Fanta,FANTA-STR-330,Soda & Energy Drinks,3,1.29,Pink Fanta second shelf far left
SHELF-BEV-01,Beverages Soft Drinks,2,2,Fanta Grape,Fanta,FANTA-GRP-330,Soda & Energy Drinks,3,1.29,Purple Fanta variety
SHELF-BEV-01,Beverages Soft Drinks,2,3,Fanta Tropical,Fanta,FANTA-TRP-330,Soda & Energy Drinks,3,1.29,Tropical Fanta yellow-green
SHELF-BEV-01,Beverages Soft Drinks,2,4,Fanta Exotic,Fanta,FANTA-EXO-330,Soda & Energy Drinks,2,1.29,Exotic mixed fruit Fanta
SHELF-BEV-01,Beverages Soft Drinks,2,5,Sprite Original,Sprite,SPRITE-ORIG-330,Soda & Energy Drinks,2,1.29,Green Sprite cans center
SHELF-BEV-01,Beverages Soft Drinks,2,6,Sprite Zero,Sprite,SPRITE-ZERO-330,Soda & Energy Drinks,2,1.29,Sprite Zero variant
SHELF-BEV-01,Beverages Soft Drinks,2,7,Chupa Chups Cola,Chupa Chups,CHUPA-COLA-250,Soda & Energy Drinks,2,1.59,Novelty branded cola soda
SHELF-BEV-01,Beverages Soft Drinks,2,8,Schweppes Pink Tonic,Schweppes,SCH-PINK-250,Mixers & Tonic,2,1.79,Pink tonic far right second shelf
SHELF-BEV-01,Beverages Soft Drinks,3,1,Fanta Orange Bottle,Fanta,FANTA-ORG-1500,Soda & Energy Drinks,2,2.49,Large Fanta orange third shelf left
SHELF-BEV-01,Beverages Soft Drinks,3,2,Sprite Bottle,Sprite,SPRITE-ORIG-1500,Soda & Energy Drinks,2,2.49,Large green Sprite bottle
SHELF-BEV-01,Beverages Soft Drinks,3,3,Sprite Zero Bottle,Sprite,SPRITE-ZERO-1500,Soda & Energy Drinks,2,2.49,Large Sprite Zero bottle
SHELF-BEV-01,Beverages Soft Drinks,3,4,Schweppes Cola,Schweppes,SCH-COLA-1000,Soda & Energy Drinks,2,2.19,Dark Schweppes cola bottles
SHELF-BEV-01,Beverages Soft Drinks,3,5,Schweppes Tonic Water,Schweppes,SCH-TONIC-1000,Mixers & Tonic,2,2.19,Premium Schweppes tonic
SHELF-BEV-01,Beverages Soft Drinks,3,6,Schweppes Bitter Lemon,Schweppes,SCH-BITTER-1000,Mixers & Tonic,2,2.19,Schweppes bitter lemon
SHELF-BEV-01,Beverages Soft Drinks,3,7,Fentimans Rose Lemonade,Fentimans,FENT-ROSE-750,Mixers & Tonic,2,3.49,Premium botanical rose lemon
