shelf_id,shelf_name,row,col,product_name,brand,sku,category,facings,unit_price_usd,planogram_notes,depth
SHELF-A1,Beverages Aisle,1,1,Coca-Cola Classic 330ml,Coca-Cola,CC-CLASSIC-330,Soda & Energy Drinks,3,1.99,High velocity — 3 facings,2
SHELF-A1,Beverages Aisle,1,2,Pepsi Max 330ml,Pepsi,PEPSI-MAX-330,Soda & Energy Drinks,2,1.89,,2
SHELF-A1,Beverages Aisle,1,3,Sprite Zero 330ml,Sprite,SPRITE-ZERO-330,Soda & Energy Drinks,2,1.89,,2
SHELF-A1,Beverages Aisle,1,4,Fanta Orange 330ml,Fanta,FANTA-ORA-330,Soda & Energy Drinks,2,1.89,,2
SHELF-A1,Beverages Aisle,1,5,7-Up 330ml,7-Up,7UP-330,Soda & Energy Drinks,2,1.79,,2
SHELF-A1,Beverages Aisle,1,6,Mountain Dew 330ml,Mountain Dew,MTNDEW-330,Soda & Energy Drinks,2,1.99,,2
SHELF-A1,Beverages Aisle,2,1,Minute Maid Orange Juice,Minute Maid,MM-OJ-1L,Water & Juice,2,3.49,Refrigerated — keep cold,2
SHELF-A1,Beverages Aisle,2,2,Tropicana Apple Juice 1L,Tropicana,TROP-AJ-1L,Water & Juice,2,3.79,,2
SHELF-A1,Beverages Aisle,2,3,Ocean Spray Cranberry 1L,Ocean Spray,OS-CRAN-1L,Water & Juice,2,4.29,,2
SHELF-A1,Beverages Aisle,2,4,Capri-Sun Fruit Punch,Capri-Sun,CAPRI-FP-10PK,Water & Juice,1,5.49,Multi-pack,2
SHELF-A1,Beverages Aisle,2,5,SunnyD Citrus Punch,SunnyD,SUNNYD-CITRUS,Water & Juice,2,2.99,,2
SHELF-A1,Beverages Aisle,2,6,V8 Vegetable Juice,V8,V8-VEG-330,Water & Juice,3,1.99,,2
SHELF-A1,Beverages Aisle,3,1,Evian Natural Water 750ml,Evian,EVIAN-750,Water & Juice,3,2.49,,2
SHELF-A1,Beverages Aisle,3,2,Dasani Purified Water 600ml,Dasani,DASANI-600,Water & Juice,3,1.49,,2
SHELF-A1,Beverages Aisle,3,3,Perrier Sparkling 500ml,Perrier,PERRIER-500,Water & Juice,2,2.99,,2
SHELF-A1,Beverages Aisle,3,4,Gatorade Cool Blue 32oz,Gatorade,GATOR-CB-32,Soda & Energy Drinks,2,2.29,Sports nutrition section,2
SHELF-A1,Beverages Aisle,3,5,Powerade Fruit Punch 32oz,Powerade,PWRD-FP-32,Soda & Energy Drinks,2,2.19,,2
SHELF-A1,Beverages Aisle,3,6,Red Bull Energy 250ml,Red Bull,REDBULL-250,Soda & Energy Drinks,3,3.49,Premium placement,2
SHELF-B2,Snacks & Confectionery,1,1,Lays Classic Chips 200g,Lay's,LAYS-CLS-200,Chips & Crisps,2,4.49,Eye-level — best seller,3
SHELF-B2,Snacks & Confectionery,1,2,Pringles Original 165g,Pringles,PRNG-ORI-165,Chips & Crisps,3,3.99,,3
SHELF-B2,Snacks & Confectionery,1,3,Doritos Nacho Cheese 180g,Doritos,DORI-NC-180,Chips & Crisps,2,4.29,,3
SHELF-B2,Snacks & Confectionery,1,4,Cheetos Puffs 226g,Cheetos,CHEE-PUF-226,Chips & Crisps,2,4.49,,3
SHELF-B2,Snacks & Confectionery,1,5,Ruffles Cheddar 184g,Ruffles,RUFF-CHED-184,Chips & Crisps,2,4.29,,3
SHELF-B2,Snacks & Confectionery,1,6,Fritos Original 226g,Fritos,FRIT-ORI-226,Chips & Crisps,2,3.99,,3
SHELF-B2,Snacks & Confectionery,2,1,Oreo Original Cookies 154g,Oreo,OREO-ORI-154,Cookies & Crackers,3,3.49,,3
